date_county,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE
"03/01/2017, Cuyahoga",0.038,35
"03/02/2017, Cuyahoga",0.04,37
"03/03/2017, Cuyahoga",0.04,37
"03/04/2017, Cuyahoga",0.041,38
"03/05/2017, Cuyahoga",0.039,36
"03/06/2017, Cuyahoga",0.042,39
"03/07/2017, Cuyahoga",0.039,36
"03/08/2017, Cuyahoga",0.047,44
"03/09/2017, Cuyahoga",0.04,37
"03/10/2017, Cuyahoga",0.04,37
"03/11/2017, Cuyahoga",0.042,39
"03/12/2017, Cuyahoga",0.042,39
"03/13/2017, Cuyahoga",0.037,34
"03/14/2017, Cuyahoga",0.042,39
"03/15/2017, Cuyahoga",0.046,43
"03/16/2017, Cuyahoga",0.044,41
"03/17/2017, Cuyahoga",0.037,34
"03/18/2017, Cuyahoga",0.028,26
"03/19/2017, Cuyahoga",0.042,39
"03/20/2017, Cuyahoga",0.024,22
"03/21/2017, Cuyahoga",0.04,37
"03/22/2017, Cuyahoga",0.041,38
"03/23/2017, Cuyahoga",0.042,39
"03/24/2017, Cuyahoga",0.055,51
"03/25/2017, Cuyahoga",0.027,25
"03/26/2017, Cuyahoga",0.037,34
"03/27/2017, Cuyahoga",0.031,29
"03/28/2017, Cuyahoga",0.029,27
"03/29/2017, Cuyahoga",0.038,35
"03/30/2017, Cuyahoga",0.033,31
"03/31/2017, Cuyahoga",0.032,30
"04/01/2017, Cuyahoga",0.046,43
"04/02/2017, Cuyahoga",0.047,44
"04/03/2017, Cuyahoga",0.045,42
"04/04/2017, Cuyahoga",0.04,37
"04/05/2017, Cuyahoga",0.048,44
"04/06/2017, Cuyahoga",0.036,33
"04/07/2017, Cuyahoga",0.044,41
"04/08/2017, Cuyahoga",0.044,41
"04/09/2017, Cuyahoga",0.059,64
"04/10/2017, Cuyahoga",0.06,67
"04/11/2017, Cuyahoga",0.041,38
"04/12/2017, Cuyahoga",0.039,36
"04/13/2017, Cuyahoga",0.036,33
"04/14/2017, Cuyahoga",0.049,45
"04/15/2017, Cuyahoga",0.058,61
"04/16/2017, Cuyahoga",0.052,48
"04/17/2017, Cuyahoga",0.045,42
"04/18/2017, Cuyahoga",0.055,51
"04/19/2017, Cuyahoga",0.038,35
"04/20/2017, Cuyahoga",0.039,36
"04/21/2017, Cuyahoga",0.034,31
"04/22/2017, Cuyahoga",0.039,36
"04/23/2017, Cuyahoga",0.045,42
"04/25/2017, Cuyahoga",0.045,42
"04/26/2017, Cuyahoga",0.051,47
"04/27/2017, Cuyahoga",0.048,44
"04/28/2017, Cuyahoga",0.033,31
"04/29/2017, Cuyahoga",0.035,32
"04/30/2017, Cuyahoga",0.033,31
"05/01/2017, Cuyahoga",0.047,44
"05/02/2017, Cuyahoga",0.042,39
"05/03/2017, Cuyahoga",0.042,39
"05/04/2017, Cuyahoga",0.031,29
"05/05/2017, Cuyahoga",0.038,35
