date_county,Daily Mean PM10 Concentration,DAILY_AQI_VALUE
"01/01/2017, Cuyahoga",28,26
"01/06/2017, Cuyahoga",33,31
"01/11/2017, Cuyahoga",26,24
"01/16/2017, Cuyahoga",46,43
"01/21/2017, Cuyahoga",25,23
"01/24/2017, Cuyahoga",8,7
"01/30/2017, Cuyahoga",9,8
"02/04/2017, Cuyahoga",14,13
"02/09/2017, Cuyahoga",9,8
"02/14/2017, Cuyahoga",21,19
"02/19/2017, Cuyahoga",30,28
"02/24/2017, Cuyahoga",29,27
"03/01/2017, Cuyahoga",12,11
"03/06/2017, Cuyahoga",45,42
"03/11/2017, Cuyahoga",7,6
"03/16/2017, Cuyahoga",13,12
"03/21/2017, Cuyahoga",21,19
"03/26/2017, Cuyahoga",24,22
"03/31/2017, Cuyahoga",17,16
"04/05/2017, Cuyahoga",14,13
"04/10/2017, Cuyahoga",31,29
"04/15/2017, Cuyahoga",33,31
"04/20/2017, Cuyahoga",24,22
"04/25/2017, Cuyahoga",19,18
"04/30/2017, Cuyahoga",24,22
"05/05/2017, Cuyahoga",4,4
"05/10/2017, Cuyahoga",25,23
"05/15/2017, Cuyahoga",20,19
"05/20/2017, Cuyahoga",16,15
"05/25/2017, Cuyahoga",9,8
"05/30/2017, Cuyahoga",19,18
"06/04/2017, Cuyahoga",25,23
"06/09/2017, Cuyahoga",37,34
"06/14/2017, Cuyahoga",42,39
"06/19/2017, Cuyahoga",13,12
"06/24/2017, Cuyahoga",13,12
"06/29/2017, Cuyahoga",25,23
"07/04/2017, Cuyahoga",17,16
"07/09/2017, Cuyahoga",15,14
"07/14/2017, Cuyahoga",16,15
"07/19/2017, Cuyahoga",32,30
"07/24/2017, Cuyahoga",12,11
"07/29/2017, Cuyahoga",12,11
"08/03/2017, Cuyahoga",34,31
"08/08/2017, Cuyahoga",14,13
"08/13/2017, Cuyahoga",9,8
"08/18/2017, Cuyahoga",14,13
"08/23/2017, Cuyahoga",17,16
"08/28/2017, Cuyahoga",30,28
"09/02/2017, Cuyahoga",14,13
"09/07/2017, Cuyahoga",8,7
"09/12/2017, Cuyahoga",34,31
"09/17/2017, Cuyahoga",29,27
"09/22/2017, Cuyahoga",52,48
"09/27/2017, Cuyahoga",45,42
"10/02/2017, Cuyahoga",51,47
"10/07/2017, Cuyahoga",35,32
"10/12/2017, Cuyahoga",20,19
"10/17/2017, Cuyahoga",23,21
"10/22/2017, Cuyahoga",39,36
"10/27/2017, Cuyahoga",34,31
"11/01/2017, Cuyahoga",29,27
"11/06/2017, Cuyahoga",5,5
"11/11/2017, Cuyahoga",18,17
"11/16/2017, Cuyahoga",6,6
"11/21/2017, Cuyahoga",11,10
"11/26/2017, Cuyahoga",6,6
"12/01/2017, Cuyahoga",22,20
"12/06/2017, Cuyahoga",12,11
"12/11/2017, Cuyahoga",18,17
"12/16/2017, Cuyahoga",23,21
"12/21/2017, Cuyahoga",27,25
"12/26/2017, Cuyahoga",24,22
"12/31/2017, Cuyahoga",14,13
"01/02/2017, Cuyahoga",22,20
"01/07/2017, Cuyahoga",35,32
"01/12/2017, Cuyahoga",9,8
"01/17/2017, Cuyahoga",24,22
"01/22/2017, Cuyahoga",27,25
"01/26/2017, Cuyahoga",5,5
"01/31/2017, Cuyahoga",17,16
"02/05/2017, Cuyahoga",20,19
"02/10/2017, Cuyahoga",36,33
"02/15/2017, Cuyahoga",7,6
"02/20/2017, Cuyahoga",55,51
"02/25/2017, Cuyahoga",12,11
"03/02/2017, Cuyahoga",7,6
"03/07/2017, Cuyahoga",12,11
"03/12/2017, Cuyahoga",6,6
"03/17/2017, Cuyahoga",43,40
"03/22/2017, Cuyahoga",9,8
"03/27/2017, Cuyahoga",14,13
"04/01/2017, Cuyahoga",9,8
"04/06/2017, Cuyahoga",10,9
"04/11/2017, Cuyahoga",24,22
"04/16/2017, Cuyahoga",18,17
"04/21/2017, Cuyahoga",8,7
"04/26/2017, Cuyahoga",41,38
"05/01/2017, Cuyahoga",21,19
"05/06/2017, Cuyahoga",4,4
"05/11/2017, Cuyahoga",16,15
"05/16/2017, Cuyahoga",49,45
"05/21/2017, Cuyahoga",24,22
"05/26/2017, Cuyahoga",12,11
"05/31/2017, Cuyahoga",36,33
"06/05/2017, Cuyahoga",12,11
"06/10/2017, Cuyahoga",25,23
"06/15/2017, Cuyahoga",28,26
"06/20/2017, Cuyahoga",12,11
"06/25/2017, Cuyahoga",11,10
"06/30/2017, Cuyahoga",19,18
"07/05/2017, Cuyahoga",26,24
"07/10/2017, Cuyahoga",22,20
"07/15/2017, Cuyahoga",13,12
"07/20/2017, Cuyahoga",24,22
"07/25/2017, Cuyahoga",12,11
"07/30/2017, Cuyahoga",14,13
"08/04/2017, Cuyahoga",22,20
"08/09/2017, Cuyahoga",42,39
"08/14/2017, Cuyahoga",35,32
"08/19/2017, Cuyahoga",15,14
"08/24/2017, Cuyahoga",19,18
"08/29/2017, Cuyahoga",26,24
"09/03/2017, Cuyahoga",17,16
"09/08/2017, Cuyahoga",10,9
"09/13/2017, Cuyahoga",29,27
"09/18/2017, Cuyahoga",40,37
"09/23/2017, Cuyahoga",40,37
"09/28/2017, Cuyahoga",12,11
"10/03/2017, Cuyahoga",60,53
"10/08/2017, Cuyahoga",12,11
"10/13/2017, Cuyahoga",29,27
"10/18/2017, Cuyahoga",35,32
"10/23/2017, Cuyahoga",34,31
"10/28/2017, Cuyahoga",7,6
"11/02/2017, Cuyahoga",21,19
"11/07/2017, Cuyahoga",11,10
"11/12/2017, Cuyahoga",33,31
"11/17/2017, Cuyahoga",24,22
"11/22/2017, Cuyahoga",6,6
"11/27/2017, Cuyahoga",37,34
"12/02/2017, Cuyahoga",47,44
"12/07/2017, Cuyahoga",19,18
"12/12/2017, Cuyahoga",10,9
"12/17/2017, Cuyahoga",37,34
"12/22/2017, Cuyahoga",22,20
"12/27/2017, Cuyahoga",21,19
"01/03/2017, Cuyahoga",18,17
"01/08/2017, Cuyahoga",16,15
"01/13/2017, Cuyahoga",16,15
"01/18/2017, Cuyahoga",9,8
"01/23/2017, Cuyahoga",17,16
"01/27/2017, Cuyahoga",16,15
"02/01/2017, Cuyahoga",12,11
"02/06/2017, Cuyahoga",51,47
"02/11/2017, Cuyahoga",26,24
"02/16/2017, Cuyahoga",20,19
