date_county,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
"01/01/2017, Cuyahoga",11.8,49
"01/04/2017, Cuyahoga",5.6,23
"01/07/2017, Cuyahoga",16.6,60
"01/10/2017, Cuyahoga",5.0,21
"01/13/2017, Cuyahoga",6.2,26
"01/16/2017, Cuyahoga",22.9,74
"01/19/2017, Cuyahoga",8.6,36
"01/22/2017, Cuyahoga",6.8,28
"01/25/2017, Cuyahoga",7.9,33
"01/28/2017, Cuyahoga",11.5,48
"01/31/2017, Cuyahoga",7.6,32
"02/03/2017, Cuyahoga",6.4,27
"02/06/2017, Cuyahoga",18.2,64
"02/09/2017, Cuyahoga",3.4,14
"02/12/2017, Cuyahoga",15.6,58
"02/15/2017, Cuyahoga",3.8,16
"02/18/2017, Cuyahoga",10.2,43
"02/21/2017, Cuyahoga",12.7,52
"02/24/2017, Cuyahoga",7.4,31
"02/27/2017, Cuyahoga",6.5,27
"03/08/2017, Cuyahoga",2.4,10
"03/11/2017, Cuyahoga",3.0,13
"03/14/2017, Cuyahoga",2.9,12
"03/17/2017, Cuyahoga",13.4,54
"03/20/2017, Cuyahoga",15.1,57
"03/23/2017, Cuyahoga",5.3,22
"03/26/2017, Cuyahoga",10.2,43
"03/29/2017, Cuyahoga",4.1,17
"04/01/2017, Cuyahoga",4.5,19
"04/04/2017, Cuyahoga",3.3,14
"04/07/2017, Cuyahoga",2.0,8
"04/10/2017, Cuyahoga",8.5,35
"04/13/2017, Cuyahoga",4.9,20
"04/16/2017, Cuyahoga",7.5,31
"04/19/2017, Cuyahoga",7.9,33
"04/22/2017, Cuyahoga",2.7,11
"04/25/2017, Cuyahoga",3.1,13
"04/28/2017, Cuyahoga",4.4,18
"05/01/2017, Cuyahoga",5.9,25
"05/04/2017, Cuyahoga",5.6,23
"05/07/2017, Cuyahoga",2.8,12
"05/10/2017, Cuyahoga",4.0,17
"05/13/2017, Cuyahoga",7.3,30
"05/16/2017, Cuyahoga",8.9,37
"05/19/2017, Cuyahoga",12.0,50
"05/22/2017, Cuyahoga",4.2,18
"05/25/2017, Cuyahoga",3.2,13
"05/28/2017, Cuyahoga",8.9,37
"05/31/2017, Cuyahoga",4.4,18
"06/03/2017, Cuyahoga",7.2,30
"06/06/2017, Cuyahoga",2.9,12
"06/09/2017, Cuyahoga",7.6,32
"06/12/2017, Cuyahoga",13.1,53
"06/15/2017, Cuyahoga",7.5,31
"06/18/2017, Cuyahoga",8.0,33
"06/21/2017, Cuyahoga",4.5,19
"06/24/2017, Cuyahoga",4.4,18
"06/27/2017, Cuyahoga",3.7,15
"06/30/2017, Cuyahoga",5.2,22
"07/03/2017, Cuyahoga",7.4,31
"07/06/2017, Cuyahoga",13.1,53
"07/09/2017, Cuyahoga",5.8,24
"07/12/2017, Cuyahoga",10.0,42
"07/15/2017, Cuyahoga",5.7,24
"07/18/2017, Cuyahoga",9.4,39
"07/21/2017, Cuyahoga",10.6,44
"07/24/2017, Cuyahoga",5.6,23
"07/27/2017, Cuyahoga",10.9,45
"07/30/2017, Cuyahoga",6.4,27
"08/02/2017, Cuyahoga",14.7,56
"08/05/2017, Cuyahoga",4.6,19
"08/08/2017, Cuyahoga",6.7,28
"08/11/2017, Cuyahoga",12.8,52
"08/14/2017, Cuyahoga",8.4,35
"08/17/2017, Cuyahoga",10.8,45
"08/20/2017, Cuyahoga",11.2,47
"08/23/2017, Cuyahoga",4.4,18
"08/26/2017, Cuyahoga",6.4,27
"08/29/2017, Cuyahoga",9.3,39
"09/01/2017, Cuyahoga",2.2,9
"09/04/2017, Cuyahoga",12.4,52
"09/07/2017, Cuyahoga",3.1,13
"09/10/2017, Cuyahoga",2.1,9
"09/13/2017, Cuyahoga",6.2,26
"09/16/2017, Cuyahoga",11.0,46
"09/19/2017, Cuyahoga",15.7,59
"09/22/2017, Cuyahoga",10.9,45
"09/25/2017, Cuyahoga",12.9,53
"09/28/2017, Cuyahoga",2.3,10
"10/01/2017, Cuyahoga",3.7,15
"10/04/2017, Cuyahoga",6.9,29
"10/07/2017, Cuyahoga",8.0,33
"10/10/2017, Cuyahoga",11.4,48
"10/13/2017, Cuyahoga",5.1,21
"10/16/2017, Cuyahoga",2.2,9
"10/19/2017, Cuyahoga",8.1,34
"10/22/2017, Cuyahoga",10.9,45
"10/25/2017, Cuyahoga",3.2,13
"10/28/2017, Cuyahoga",3.8,16
"10/31/2017, Cuyahoga",3.9,16
"11/03/2017, Cuyahoga",3.1,13
"11/06/2017, Cuyahoga",2.5,10
"11/09/2017, Cuyahoga",8.7,36
"11/12/2017, Cuyahoga",10.5,44
"11/15/2017, Cuyahoga",10.0,42
"11/18/2017, Cuyahoga",4.8,20
"11/21/2017, Cuyahoga",4.7,20
"11/24/2017, Cuyahoga",7.3,30
"11/27/2017, Cuyahoga",11.3,47
"11/30/2017, Cuyahoga",9.2,38
"12/03/2017, Cuyahoga",24.0,76
"12/06/2017, Cuyahoga",4.0,17
"12/09/2017, Cuyahoga",10.2,43
"12/12/2017, Cuyahoga",3.8,16
"12/15/2017, Cuyahoga",9.6,40
"12/18/2017, Cuyahoga",12.7,52
"12/21/2017, Cuyahoga",4.5,19
"12/24/2017, Cuyahoga",11.5,48
"12/27/2017, Cuyahoga",9.8,41
"12/30/2017, Cuyahoga",12.5,52
"01/01/2017, Cuyahoga",12.4,52
"01/04/2017, Cuyahoga",6.6,28
