date_county,Daily Mean Pb Concentration,DAILY_AQI_VALUE
"01/01/2017, Cuyahoga",0.007,.
"01/07/2017, Cuyahoga",0.006,.
"01/13/2017, Cuyahoga",0.005,.
"01/19/2017, Cuyahoga",0.007,.
"01/25/2017, Cuyahoga",0.011,.
"01/31/2017, Cuyahoga",0.005,.
"02/06/2017, Cuyahoga",0.016,.
"02/12/2017, Cuyahoga",0.007,.
"02/18/2017, Cuyahoga",0.007,.
"02/24/2017, Cuyahoga",0.025,.
"03/02/2017, Cuyahoga",0.002,.
"03/08/2017, Cuyahoga",0.005,.
"03/14/2017, Cuyahoga",0.003,.
"03/20/2017, Cuyahoga",0.02,.
"03/26/2017, Cuyahoga",0.014,.
"04/01/2017, Cuyahoga",0.003,.
"04/07/2017, Cuyahoga",0.002,.
"04/13/2017, Cuyahoga",0.022,.
"04/19/2017, Cuyahoga",0.009,.
"04/25/2017, Cuyahoga",0.007,.
"05/01/2017, Cuyahoga",0.008,.
"05/07/2017, Cuyahoga",0.002,.
"05/13/2017, Cuyahoga",0.008,.
"05/19/2017, Cuyahoga",0.006,.
"05/25/2017, Cuyahoga",0.003,.
"05/31/2017, Cuyahoga",0.011,.
"06/06/2017, Cuyahoga",0.004,.
"06/12/2017, Cuyahoga",0.007,.
"06/18/2017, Cuyahoga",0.008,.
"06/24/2017, Cuyahoga",0.004,.
"06/30/2017, Cuyahoga",0.009,.
"07/06/2017, Cuyahoga",0.026,.
"07/12/2017, Cuyahoga",0.005,.
"07/18/2017, Cuyahoga",0.017,.
"07/24/2017, Cuyahoga",0.005,.
"07/30/2017, Cuyahoga",0.006,.
"08/05/2017, Cuyahoga",0.004,.
"08/11/2017, Cuyahoga",0.013,.
"08/17/2017, Cuyahoga",0.021,.
"08/23/2017, Cuyahoga",0.006,.
"08/29/2017, Cuyahoga",0.009,.
"09/04/2017, Cuyahoga",0.008,.
"09/10/2017, Cuyahoga",0.008,.
"09/16/2017, Cuyahoga",0.026,.
"09/22/2017, Cuyahoga",0.034,.
"09/28/2017, Cuyahoga",0.007,.
"10/04/2017, Cuyahoga",0.017,.
"10/10/2017, Cuyahoga",0.02,.
"10/16/2017, Cuyahoga",0.012,.
"10/22/2017, Cuyahoga",0.014,.
"10/28/2017, Cuyahoga",0.004,.
"11/03/2017, Cuyahoga",0.002,.
"11/09/2017, Cuyahoga",0.026,.
"11/15/2017, Cuyahoga",0.029,.
"11/21/2017, Cuyahoga",0.005,.
"11/27/2017, Cuyahoga",0.011,.
"12/03/2017, Cuyahoga",0.013,.
"12/09/2017, Cuyahoga",0.01,.
"12/15/2017, Cuyahoga",0.007,.
"12/21/2017, Cuyahoga",0.008,.
"12/27/2017, Cuyahoga",0.002,.
"01/01/2017, Cuyahoga",0.006,.
"01/07/2017, Cuyahoga",0.007,.
"01/13/2017, Cuyahoga",0.005,.
"01/19/2017, Cuyahoga",0.011,.
"01/25/2017, Cuyahoga",0.005,.
"01/31/2017, Cuyahoga",0.004,.
"02/06/2017, Cuyahoga",0.008,.
"02/12/2017, Cuyahoga",0.006,.
"02/18/2017, Cuyahoga",0.013,.
"02/24/2017, Cuyahoga",0.013,.
"03/02/2017, Cuyahoga",0.005,.
"03/08/2017, Cuyahoga",0.007,.
"03/14/2017, Cuyahoga",0.004,.
"03/20/2017, Cuyahoga",0.009,.
"03/26/2017, Cuyahoga",0.01,.
"04/01/2017, Cuyahoga",0.005,.
"04/07/2017, Cuyahoga",0.003,.
"04/13/2017, Cuyahoga",0.013,.
