date_county,Daily Max 1-hour SO2 Concentration,DAILY_AQI_VALUE
"01/01/2017, Cuyahoga",11.0,16
"01/02/2017, Cuyahoga",6.0,9
"01/03/2017, Cuyahoga",0.0,0
"01/04/2017, Cuyahoga",0.0,0
"01/05/2017, Cuyahoga",0.0,0
"01/06/2017, Cuyahoga",0.0,0
"01/07/2017, Cuyahoga",0.0,0
"01/08/2017, Cuyahoga",0.0,0
"01/09/2017, Cuyahoga",14.0,20
"01/10/2017, Cuyahoga",1.0,1
"01/11/2017, Cuyahoga",15.0,21
"01/12/2017, Cuyahoga",1.0,1
"01/13/2017, Cuyahoga",1.0,1
"01/14/2017, Cuyahoga",0.0,0
"01/15/2017, Cuyahoga",0.0,0
"01/16/2017, Cuyahoga",0.0,0
"01/17/2017, Cuyahoga",0.0,0
"01/18/2017, Cuyahoga",0.0,0
"01/19/2017, Cuyahoga",0.0,0
"01/20/2017, Cuyahoga",0.0,0
"01/21/2017, Cuyahoga",8.0,11
"01/22/2017, Cuyahoga",0.0,0
"01/23/2017, Cuyahoga",2.0,3
"01/24/2017, Cuyahoga",0.0,0
"01/25/2017, Cuyahoga",0.0,0
"01/26/2017, Cuyahoga",0.0,0
"01/27/2017, Cuyahoga",0.0,0
"01/28/2017, Cuyahoga",0.0,0
"01/29/2017, Cuyahoga",0.0,0
"01/30/2017, Cuyahoga",5.0,7
"01/31/2017, Cuyahoga",0.0,0
"02/01/2017, Cuyahoga",0.0,0
"02/02/2017, Cuyahoga",0.0,0
"02/03/2017, Cuyahoga",0.0,0
"02/04/2017, Cuyahoga",0.0,0
"02/05/2017, Cuyahoga",0.0,0
"02/06/2017, Cuyahoga",10.0,14
"02/07/2017, Cuyahoga",0.0,0
"02/08/2017, Cuyahoga",0.0,0
"02/09/2017, Cuyahoga",0.0,0
"02/10/2017, Cuyahoga",3.0,4
"02/11/2017, Cuyahoga",0.0,0
"02/12/2017, Cuyahoga",0.0,0
"02/13/2017, Cuyahoga",0.0,0
"02/14/2017, Cuyahoga",3.0,4
"02/15/2017, Cuyahoga",0.0,0
"02/16/2017, Cuyahoga",8.0,11
"02/17/2017, Cuyahoga",25.0,36
"02/18/2017, Cuyahoga",6.0,9
"02/19/2017, Cuyahoga",1.0,1
"02/20/2017, Cuyahoga",34.0,49
"02/21/2017, Cuyahoga",29.0,41
"02/22/2017, Cuyahoga",2.0,3
"02/23/2017, Cuyahoga",2.0,3
"02/24/2017, Cuyahoga",15.0,21
"02/25/2017, Cuyahoga",0.0,0
"02/26/2017, Cuyahoga",0.0,0
"02/27/2017, Cuyahoga",0.0,0
"02/28/2017, Cuyahoga",7.0,10
"03/01/2017, Cuyahoga",0.0,0
"03/02/2017, Cuyahoga",0.0,0
"03/03/2017, Cuyahoga",0.0,0
"03/04/2017, Cuyahoga",0.0,0
"03/05/2017, Cuyahoga",31.0,44
"03/06/2017, Cuyahoga",24.0,34
"03/07/2017, Cuyahoga",0.0,0
"03/08/2017, Cuyahoga",0.0,0
"03/09/2017, Cuyahoga",0.0,0
"03/10/2017, Cuyahoga",0.0,0
