date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val
"01/01/2017, Barr School",,,,,,,16.0,15.0,12.4,52.0,,
"01/01/2017, Barr School",,,,,,,16.0,15.0,12.5,52.0,,
"01/01/2017, Barr School",,,,,,,16.0,15.0,5.5,23.0,,
"01/01/2017, Brookpark",,,,,,,19.0,18.0,12.0,50.0,,
"01/01/2017, Chippewa",,,,,,,,,12.1,51.0,,
"01/01/2017, Chippewa",,,,,,,,,11.6,48.0,,
"01/01/2017, Cleveland Fire St13",,,,,,,27.0,25.0,11.9,50.0,0.0,0.0
"01/01/2017, Cleveland Near Road",0.2,2.0,24.0,23.0,,,,,,,,
"01/01/2017, District 6",,,,,,,,,11.8,49.0,,
"01/01/2017, Eastlake",,,,,,,,,,,5.0,7.0
"01/01/2017, FAIRPORT HIGH SCHOOL",,,,,,,7.0,6.0,,,,
"01/01/2017, FAIRPORT HIGH SCHOOL",,,,,,,7.0,6.0,,,,
"01/01/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.026,24.0,29.0,27.0,9.6,40.0,5.0,7.0
"01/01/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.026,24.0,29.0,27.0,9.6,40.0,4.9,6.0
"01/01/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.026,24.0,21.0,19.0,9.6,40.0,5.0,7.0
"01/01/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.026,24.0,21.0,19.0,9.6,40.0,4.9,6.0
"01/01/2017, Galleria",0.6,7.0,,,,,,,,,,
"01/01/2017, Harvard Yards",,,,,,,18.0,17.0,10.5,44.0,0.0,0.0
"01/01/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/01/2017, Painesville",,,,,,,,,11.5,48.0,1.0,1.0
"01/01/2017, Painesville",,,,,,,,,11.2,47.0,1.0,1.0
"01/01/2017, Painesville",,,,,,,,,8.8,37.0,1.0,1.0
"01/01/2017, St Theodosius",,,,,,,28.0,26.0,12.4,52.0,11.0,16.0
"01/01/2017, St Theodosius",,,,,,,28.0,26.0,12.6,52.0,11.0,16.0
"01/02/2017, Barr School",,,,,,,,,6.4,27.0,,
"01/02/2017, Chippewa",,,,,,,,,12.1,51.0,,
"01/02/2017, Cleveland Fire St13",,,,,,,,,,,2.0,3.0
"01/02/2017, Cleveland Near Road",0.2,2.0,9.0,8.0,,,,,,,,
"01/02/2017, Eastlake",,,,,,,,,,,2.0,3.0
"01/02/2017, GT Craig NCore",0.5,6.0,33.0,31.0,0.009,8.0,18.0,17.0,14.1,55.0,2.0,3.0
"01/02/2017, GT Craig NCore",0.5,6.0,33.0,31.0,0.009,8.0,18.0,17.0,14.1,55.0,1.8,1.0
"01/02/2017, Galleria",0.8,9.0,,,,,,,,,,
"01/02/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/02/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/02/2017, Painesville",,,,,,,,,7.8,33.0,1.0,1.0
"01/02/2017, St Theodosius",,,,,,,22.0,20.0,,,6.0,9.0
"01/03/2017, Barr School",,,,,,,,,1.2,5.0,,
"01/03/2017, Chippewa",,,,,,,,,4.2,18.0,,
"01/03/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/03/2017, Cleveland Near Road",0.3,3.0,22.0,21.0,,,,,,,,
