date,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulative_aqi,temp_high,temp_low,temp_avg,month,weekday
1/1/2017,0.5,6,36,34,0.026,24,21,19,9.6,40,5,7,40,43,27,35,1,6
1/2/2017,0.5,6,33,31,0.009,8,18,17,14.1,55,2,3,55,50,34,42,1,0
1/3/2017,0.4,5,24,23,0.015,14,9,8,7.7,32,0,0,32,50,40,45,1,1
1/4/2017,0.2,2,,,0.027,25,19,18,4.6,19,0,0,25,40,20,30,1,2
1/5/2017,,,19,18,0.02,19,11,10,5.3,22,0,0,22,21,13,17,1,3
1/6/2017,0.3,3,25,24,0.024,22,17,16,14.1,55,0,0,55,16,5,10.5,1,4
1/7/2017,0.3,3,26,25,0.03,28,17,16,13.4,54,0,0,54,17,6,11.5,1,5
1/8/2017,0.2,2,9,8,0.032,30,10,9,1.5,6,1,1,30,19,12,15.5,1,6
1/9/2017,0.4,5,26,25,0.023,21,39,36,11.3,47,8,11,47,31,15,23,1,0
1/10/2017,0.4,5,27,25,0.032,30,13,12,5.6,23,1,1,30,51,28,39.5,1,1
1/11/2017,0.4,5,25,24,0.024,22,20,19,10.2,43,5,7,43,59,35,47,1,2
1/12/2017,0.3,3,22,21,0.028,26,11,10,9.4,39,9,13,39,65,33,49,1,3
1/13/2017,0.3,3,14,13,0.027,25,15,14,6.8,28,10,14,28,33,26,29.5,1,4
1/14/2017,0.3,3,20,19,0.026,24,12,11,8.3,35,1,1,35,34,26,30,1,5
1/15/2017,0.7,8,37,35,0.015,14,21,19,21.3,70,8,11,70,35,20,27.5,1,6
1/16/2017,0.7,8,34,32,0.005,5,39,36,29,87,2,3,87,41,22,31.5,1,0
1/17/2017,0.5,6,24,23,0.02,19,12,11,11,46,1,1,46,61,41,51,1,1
1/18/2017,0.3,3,14,13,0.02,19,5,5,4,17,0,0,19,45,38,41.5,1,2
1/19/2017,0.3,3,23,22,0.016,15,11,10,8.1,34,0,0,34,46,36,41,1,3
1/20/2017,0.5,6,22,21,0.006,6,13,12,10.6,44,1,1,44,55,37,46,1,4
1/21/2017,0.6,7,22,21,0.021,19,19,18,12.2,51,4,6,51,63,42,52.5,1,5
1/22/2017,0.4,5,21,20,0.015,14,16,15,9.2,38,4,6,38,64,41,52.5,1,6
1/23/2017,0.4,5,19,18,0.014,13,11,10,10.5,44,0,0,44,44,40,42,1,0
1/24/2017,0.3,3,16,15,0.02,19,7,6,8.4,35,3,4,35,41,36,38.5,1,1
1/25/2017,0.3,3,24,23,0.024,22,15,14,7.8,33,3,4,33,52,37,44.5,1,2
1/26/2017,0.2,2,10,9,0.021,19,5,5,2.8,12,0,0,19,42,33,37.5,1,3
1/27/2017,0.2,2,12,11,0.026,24,7,6,5,21,0,0,24,34,29,31.5,1,4
1/28/2017,0.2,2,7,7,0.025,23,10,9,8.9,37,0,0,37,31,28,29.5,1,5
1/29/2017,0.2,2,18,17,0.032,30,7,6,6,25,0,0,30,32,26,29,1,6
1/30/2017,0.3,3,21,20,0.033,31,9,8,2.4,10,3,4,31,27,23,25,1,0
1/31/2017,0.3,3,31,29,0.027,25,10,9,9.1,38,,,38,38,26,32,1,1
2/1/2017,0.3,3,32,30,0.029,27,8,7,5.2,22,0,0,30,38,31,34.5,2,2
2/2/2017,0.3,3,17,16,0.034,31,12,11,5,21,0,0,31,33,21,27,2,3
2/3/2017,0.3,3,24,23,0.039,36,22,20,7.1,30,0,0,36,27,18,22.5,2,4
2/4/2017,0.2,2,17,16,0.034,31,12,11,3.4,14,4,6,31,33,16,24.5,2,5
2/5/2017,0.2,2,10,9,0.03,28,16,15,8.6,36,1,1,36,44,30,37,2,6
2/6/2017,,,45,42,0.025,23,35,32,19.9,67,5,7,67,54,25,39.5,2,0
2/7/2017,0.5,6,30,28,0.027,25,15,14,9.4,39,1,1,39,60,47,53.5,2,1
2/8/2017,0.3,3,12,11,0.033,31,10,9,2.8,12,0,0,31,53,28,40.5,2,2
2/9/2017,0.2,2,10,9,0.035,32,15,14,1.9,8,0,0,32,28,19,23.5,2,3
2/10/2017,0.6,7,22,21,0.024,22,35,32,10,42,11,16,42,37,16,26.5,2,4
2/11/2017,0.6,7,33,31,0.021,19,22,20,10.5,44,0,0,44,51,37,44,2,5
2/12/2017,0.7,8,31,29,0.039,36,12,11,17.5,62,0,0,62,46,35,40.5,2,6
2/13/2017,0.5,6,46,43,0.036,33,25,23,4.4,18,1,1,43,40,31,35.5,2,0
2/14/2017,0.6,7,17,16,0.035,32,19,18,5.9,25,1,1,32,52,32,42,2,1
2/15/2017,0.2,2,10,9,0.033,31,9,8,2.2,9,0,0,31,42,28,35,2,2
2/16/2017,0.4,5,46,43,0.033,31,28,26,4,17,3,4,43,30,22,26,2,3
2/17/2017,0.5,6,39,37,0.032,30,49,45,14.2,55,12,17,55,54,26,40,2,4
2/18/2017,0.4,5,13,12,0.048,44,20,19,8.3,35,1,1,44,69,49,59,2,5
2/19/2017,0.5,6,39,37,0.038,35,28,26,17.7,63,0,0,63,64,42,53,2,6
2/20/2017,1,11,45,42,0.014,13,50,46,17.1,62,2,3,62,59,33,46,2,0
2/21/2017,0.6,7,43,41,0.026,24,71,59,14.3,56,8,11,59,67,45,56,2,1
2/22/2017,0.7,8,38,36,0.034,31,28,26,17.4,62,4,6,62,63,52,57.5,2,2
2/23/2017,0.5,6,36,34,0.027,25,27,25,15,57,0,0,57,68,52,60,2,3
2/24/2017,0.5,6,30,28,0.038,35,32,30,13.3,54,7,10,54,77,45,61,2,4
2/25/2017,0.2,2,5,5,0.031,29,5,5,3.4,14,0,0,29,61,27,44,2,5
2/26/2017,0.2,2,7,7,0.036,33,8,7,4.2,18,0,0,33,43,26,34.5,2,6
2/27/2017,0.3,3,18,17,0.036,33,14,13,4.3,18,1,1,33,50,36,43,2,0
2/28/2017,0.6,7,25,24,0.029,27,29,27,13.1,53,6,9,53,61,39,50,2,1
3/1/2017,0.4,5,29,27,0.037,34,11,10,,,1,1,34,65,35,50,3,2
3/2/2017,0.2,2,9,8,0.038,35,12,11,2.8,12,0,0,35,35,27,31,3,3
3/3/2017,0.2,2,14,13,0.038,35,14,13,2.7,11,0,0,35,28,24,26,3,4
3/4/2017,0.2,2,12,11,0.04,37,10,9,1.4,6,0,0,37,29,21,25,3,5
3/5/2017,0.4,5,14,13,0.035,32,14,13,,,3,4,32,48,20,34,3,6
3/6/2017,,,43,41,0.037,34,46,43,,,12,17,43,59,45,52,3,0
3/7/2017,0.4,5,11,10,0.037,34,14,13,8.2,34,1,1,34,61,44,52.5,3,1
3/9/2017,,,,,0.035,32,,,,,,,32,49,34,41.5,3,3
3/10/2017,0.2,2,10,9,0.038,35,,,4.2,18,1,1,35,36,22,29,3,4
3/11/2017,0.2,2,17,16,0.04,37,,,2.8,12,1,1,37,28,19,23.5,3,5
3/12/2017,0.2,2,18,17,0.04,37,,,0.7,3,1,1,37,29,22,25.5,3,6
3/13/2017,0.3,3,16,15,0.032,30,,,2.7,11,0,0,30,33,23,28,3,0
3/14/2017,0.2,2,8,8,0.038,35,,,1.6,7,0,0,35,27,19,23,3,1
3/15/2017,0.2,2,9,8,0.043,40,,,1.9,8,0,0,40,31,20,25.5,3,2
3/16/2017,0.3,3,40,38,0.04,37,,,4,17,1,1,38,38,26,32,3,3
3/17/2017,0.7,8,49,46,0.033,31,,,16.5,60,8,11,60,43,23,33,3,4
3/18/2017,0.4,5,19,18,0.028,26,,,12.3,51,1,1,51,41,35,38,3,5
3/19/2017,0.3,3,35,33,0.038,35,,,20.7,69,1,1,69,39,35,37,3,6
3/20/2017,0.5,6,36,34,0.021,19,,,19.1,66,4,6,66,49,34,41.5,3,0
3/21/2017,0.5,6,37,35,0.038,35,,,16.8,61,0,0,61,57,33,45,3,1
3/22/2017,0.3,3,20,19,,,,,1.2,5,0,0,19,33,23,28,3,2
3/23/2017,0.6,7,45,42,0.036,33,,,10,42,3,4,42,51,18,34.5,3,3
3/24/2017,0.5,6,20,19,0.05,46,,,13.5,54,2,3,54,74,42,58,3,4
3/25/2017,0.6,7,42,40,0.022,20,,,15.2,58,3,4,58,66,42,54,3,5
3/26/2017,0.5,6,28,26,0.029,27,,,12.4,52,3,4,52,68,42,55,3,6
3/27/2017,0.3,3,19,18,0.025,23,,,7.7,32,0,0,32,64,54,59,3,0
3/28/2017,0.4,5,33,31,0.027,25,,,5.8,24,0,0,31,54,39,46.5,3,1
3/29/2017,0.3,3,32,30,0.034,31,,,5.8,24,0,0,31,53,38,45.5,3,2
3/30/2017,0.3,3,19,18,0.026,24,,,5.6,23,0,0,24,53,43,48,3,3
3/31/2017,0.4,5,30,28,0.028,26,,,7.1,30,0,0,30,60,39,49.5,3,4
4/1/2017,0.3,3,28,26,0.044,41,,,6.2,26,1,1,41,49,37,43,4,5
4/2/2017,0.5,6,29,27,0.041,38,,,11.7,49,2,3,49,61,36,48.5,4,6
4/3/2017,,,21,20,0.037,34,,,9.4,39,6,9,39,74,50,62,4,0
4/4/2017,0.3,3,,,0.036,33,,,5.3,22,0,0,33,61,49,55,4,1
4/5/2017,0.3,3,27,25,0.04,37,,,3.7,15,0,0,37,66,43,54.5,4,2
4/6/2017,0.3,3,21,20,0.032,30,,,4.2,18,1,1,30,59,35,47,4,3
4/7/2017,0.3,3,33,31,0.039,36,,,0,0,0,0,36,46,32,39,4,4
4/8/2017,0.5,6,43,41,0.037,34,,,5.2,22,3,4,41,59,29,44,4,5
4/9/2017,0.5,6,31,29,0.046,43,,,,,13,19,43,74,42,58,4,6
4/10/2017,,,25,24,0.051,47,,,,,12,17,47,80,61,70.5,4,0
4/11/2017,0.5,6,32,30,0.035,32,,,10.9,45,1,1,45,71,51,61,4,1
4/12/2017,0.4,5,31,29,0.033,31,,,5.4,23,0,0,31,58,47,52.5,4,2
4/13/2017,0.4,5,31,29,0.026,24,18,17,6.5,27,0,0,29,56,45,50.5,4,3
4/14/2017,0.5,6,40,38,0.038,35,24,22,6.6,28,2,3,38,66,46,56,4,4
4/15/2017,0.5,6,24,23,0.053,49,33,31,13.2,53,5,7,53,83,54,68.5,4,5
4/16/2017,0.2,2,10,9,0.047,44,17,16,7.7,32,1,1,44,80,62,71,4,6
4/17/2017,0.3,3,31,29,0.038,35,13,12,4.1,17,1,1,35,66,49,57.5,4,0
4/18/2017,0.4,5,30,28,0.046,43,24,22,5.8,24,1,1,43,72,46,59,4,1
4/19/2017,0.3,3,25,24,0.033,31,27,25,9.3,39,10,14,39,78,56,67,4,2
4/20/2017,0.4,5,29,27,0.031,29,22,20,16,59,1,1,59,82,54,68,4,3
4/21/2017,0.4,5,8,8,0.031,29,6,6,6.2,26,0,0,29,66,47,56.5,4,4
4/22/2017,0.2,2,13,12,0.033,31,5,5,3.1,13,1,1,31,52,42,47,4,5
4/23/2017,0.4,5,39,37,0.041,38,14,13,7.5,31,1,1,38,64,36,50,4,6
4/24/2017,0.6,7,44,42,0.049,45,30,28,8.2,34,10,14,45,75,42,58.5,4,0
4/25/2017,0.2,2,15,14,0.039,36,19,18,4.9,20,1,1,36,77,57,67,4,1
4/26/2017,0.4,5,33,31,0.041,38,63,55,11,46,9,13,55,82,56,69,4,2
4/27/2017,,,31,29,0.043,40,57,52,12.3,51,6,9,52,81,50,65.5,4,3
4/28/2017,0.4,5,23,22,0.032,30,22,20,9.7,40,1,1,40,64,47,55.5,4,4
4/29/2017,0.4,5,11,10,0.033,31,8,7,7.6,32,0,0,32,58,47,52.5,4,5
4/30/2017,0.3,3,13,12,0.03,28,17,16,8.2,34,2,3,34,86,49,67.5,4,6
5/1/2017,0.3,3,17,16,0.042,39,21,19,7.7,32,4,6,39,76,53,64.5,5,0
5/2/2017,,,6,6,0.041,38,6,6,1.8,8,1,1,38,54,45,49.5,5,1
5/3/2017,0.2,2,12,11,0.037,34,8,7,3.2,13,1,1,34,57,44,50.5,5,2
5/4/2017,0.3,3,22,21,0.022,20,12,11,5.9,25,1,1,25,56,48,52,5,3
5/5/2017,0.3,3,12,11,0.037,34,3,3,2.1,9,0,0,34,53,45,49,5,4
5/6/2017,0.2,2,4,4,0.034,31,4,4,2.5,10,0,0,31,52,45,48.5,5,5
5/7/2017,0.2,2,13,12,0.039,36,6,6,1.5,6,1,1,36,56,40,48,5,6
5/8/2017,0.2,2,35,33,0.041,38,25,23,2.1,9,,,38,55,36,45.5,5,0
5/9/2017,0.5,6,48,45,0.043,40,54,50,12.6,52,10,14,52,62,36,49,5,1
5/10/2017,0.4,5,34,32,0.037,34,23,21,5,21,1,1,34,64,48,56,5,2
5/11/2017,0.3,3,19,18,0.031,29,12,11,4.9,20,0,0,29,58,51,54.5,5,3
5/12/2017,0.4,5,29,27,0.03,28,15,14,10.7,45,0,0,45,59,48,53.5,5,4
5/13/2017,0.3,3,23,22,0.047,44,19,18,10.4,43,0,0,44,70,42,56,5,5
5/14/2017,0.3,3,15,14,0.038,35,14,13,13.4,54,2,3,54,64,50,57,5,6
5/15/2017,0.4,5,38,36,0.029,27,21,19,4,17,3,4,36,68,40,54,5,0
5/16/2017,0.4,5,26,25,0.061,71,57,52,11,46,3,4,71,87,49,68,5,1
5/17/2017,0.4,5,41,39,0.05,46,64,55,15.1,57,5,7,57,90,70,80,5,2
5/18/2017,0.2,2,11,10,0.048,44,44,41,25.5,79,0,0,79,89,71,80,5,3
5/19/2017,0.2,2,11,10,0.025,23,11,10,5.6,23,0,0,23,72,52,62,5,4
5/20/2017,0.3,3,11,10,0.031,29,15,14,7,29,0,0,29,73,54,63.5,5,5
5/21/2017,0.5,6,11,10,0.031,29,20,19,11.2,47,1,1,47,76,65,70.5,5,6
5/22/2017,0.2,2,21,20,0.045,42,14,13,4.8,20,14,20,42,71,54,62.5,5,0
5/23/2017,0.4,5,39,37,0.047,44,35,32,11.3,47,10,14,47,77,52,64.5,5,1
5/24/2017,0.4,5,32,30,0.033,31,18,17,9,38,3,4,38,68,61,64.5,5,2
5/25/2017,0.3,3,22,21,0.029,27,8,7,4.9,20,0,0,27,63,59,61,5,3
5/26/2017,0.3,3,31,29,0.037,34,11,10,5.2,22,0,0,34,70,58,64,5,4
5/27/2017,0.4,5,24,23,0.039,36,12,11,10.1,42,0,0,42,73,59,66,5,5
5/28/2017,0.4,5,14,13,0.039,36,23,21,12.3,51,10,14,51,81,59,70,5,6
5/29/2017,0.3,3,14,13,0.047,44,16,15,6.8,28,8,11,44,82,60,71,5,0
5/30/2017,0.3,3,20,19,0.044,41,27,25,4.7,20,6,9,41,79,58,68.5,5,1
5/31/2017,0.3,3,36,34,0.047,44,40,37,8.3,35,12,17,44,78,56,67,5,2
6/1/2017,0.3,3,39,37,0.042,39,27,25,6.5,27,10,14,39,73,53,63,6,3
6/2/2017,0.5,6,38,36,0.041,38,44,41,14.7,56,10,14,56,80,52,66,6,4
6/3/2017,0.3,3,18,17,0.045,42,29,27,11.8,49,1,1,49,82,56,69,6,5
6/4/2017,0.4,5,33,31,0.051,47,29,27,13.4,54,11,16,54,88,69,78.5,6,6
6/5/2017,0.2,2,11,10,0.042,39,12,11,6.1,25,0,0,39,71,59,65,6,0
6/6/2017,0.2,2,10,9,0.03,28,10,9,5,21,0,0,28,68,52,60,6,1
6/7/2017,0.3,3,17,16,0.028,26,9,8,3.6,15,0,0,26,66,54,60,6,2
6/8/2017,0.6,7,36,34,0.036,33,30,28,8.9,37,5,7,37,73,50,61.5,6,3
6/9/2017,0.5,6,36,34,0.043,40,69,58,16.3,60,17,24,60,79,53,66,6,4
6/10/2017,0.7,8,10,9,0.064,80,30,28,10,42,1,1,80,89,67,78,6,5
6/11/2017,0.8,9,19,18,0.059,64,23,21,,,10,14,64,91,69,80,6,6
6/12/2017,,,14,13,0.053,49,28,26,,,1,1,49,93,73,83,6,0
6/13/2017,0.3,3,18,17,0.07,100,33,31,,,3,4,100,93,73,83,6,1
6/14/2017,0.4,5,28,26,0.052,48,40,37,13,53,3,4,53,88,69,78.5,6,2
6/15/2017,0.4,5,32,30,0.044,41,24,22,7.9,33,14,20,41,86,72,79,6,3
6/16/2017,0.3,3,24,23,0.055,51,22,20,4.9,20,7,10,51,91,70,80.5,6,4
6/17/2017,0.3,3,15,14,0.056,54,29,27,10.3,43,5,7,54,92,72,82,6,5
6/18/2017,0.2,2,5,5,0.039,36,19,18,3,13,0,0,36,90,72,81,6,6
6/19/2017,0.2,2,15,14,0.041,38,13,12,-0.1,0,1,1,38,81,63,72,6,0
6/20/2017,0.2,2,14,13,0.043,40,12,11,0.3,1,0,0,40,80,60,70,6,1
6/21/2017,0.3,3,27,25,0.041,38,14,13,5,21,2,3,38,76,60,68,6,2
6/22/2017,0.3,3,27,25,0.044,41,37,34,7.8,33,4,6,41,89,62,75.5,6,3
6/23/2017,0.3,3,11,10,0.028,26,10,9,-2.9,0,0,0,26,78,71,74.5,6,4
6/24/2017,0.2,2,9,8,0.041,38,13,12,0.9,4,0,0,38,81,63,72,6,5
6/25/2017,0.2,2,9,8,0.043,40,12,11,0.8,3,0,0,40,76,60,68,6,6
6/26/2017,0.2,2,11,10,,,13,12,1.5,6,0,0,12,74,56,65,6,0
6/27/2017,0.2,2,30,28,0.033,31,16,15,1.9,8,8,11,31,72,53,62.5,6,1
6/28/2017,0.2,2,16,15,0.047,44,24,22,3.1,13,7,10,44,79,57,68,6,2
6/29/2017,0.2,2,22,21,0.052,48,36,33,4.7,20,7,10,48,88,68,78,6,3
6/30/2017,0.3,3,16,15,0.043,40,16,15,2.3,10,1,1,40,88,70,79,6,4
7/1/2017,0.2,2,24,23,0.044,41,13,12,3.4,14,2,3,41,85,69,77,7,5
7/2/2017,0.3,3,12,11,0.053,49,18,17,4.3,18,0,0,49,85,67,76,7,6
7/3/2017,,,15,14,0.043,40,16,15,4.3,18,4,6,40,82,69,75.5,7,0
7/4/2017,0.3,3,13,12,0.038,35,20,19,7.3,30,2,3,35,79,68,73.5,7,1
7/5/2017,0.3,3,23,22,0.035,32,22,20,9.3,39,0,0,39,82,61,71.5,7,2
7/6/2017,0.7,8,34,32,0.054,50,54,50,15,57,14,20,57,83,66,74.5,7,3
7/7/2017,0.4,5,17,16,0.05,46,16,15,2.8,12,1,1,46,83,68,75.5,7,4
7/8/2017,0.3,3,13,12,0.033,31,14,13,4.4,18,9,13,31,77,63,70,7,5
7/9/2017,0.4,5,16,15,0.05,46,20,19,6.2,26,7,10,46,82,59,70.5,7,6
7/10/2017,,,31,29,0.027,25,26,24,7.1,30,9,13,30,76,63,69.5,7,0
7/11/2017,0.3,3,,,0.043,40,19,18,4.8,20,0,0,40,87,70,78.5,7,1
7/12/2017,0.3,3,11,10,0.045,42,21,19,3.8,16,0,0,42,88,72,80,7,2
7/13/2017,0.2,2,16,15,0.03,28,18,17,6.3,26,0,0,28,84,73,78.5,7,3
7/14/2017,0.2,2,10,9,0.039,36,14,13,2.3,10,0,0,36,85,72,78.5,7,4
7/15/2017,0.2,2,21,20,0.032,30,12,11,2.6,11,3,4,30,79,65,72,7,5
7/16/2017,0.3,3,15,14,0.043,40,18,17,6.8,28,7,10,40,85,62,73.5,7,6
7/17/2017,0.2,2,24,23,0.034,31,15,14,5.7,24,0,0,31,78,66,72,7,0
7/18/2017,0.4,5,31,29,0.049,45,48,44,11.7,49,40,56,56,87,62,74.5,7,1
7/19/2017,0.4,5,36,34,0.061,71,33,31,12.4,52,6,9,71,92,74,83,7,2
7/20/2017,0.3,3,31,29,0.049,45,28,26,6.3,26,4,6,45,89,74,81.5,7,3
7/21/2017,0.3,3,40,38,0.049,45,26,24,7.2,30,5,7,45,91,73,82,7,4
7/22/2017,0.3,3,18,17,0.04,37,18,17,6.1,25,3,4,37,85,75,80,7,5
7/23/2017,0.2,2,8,8,0.047,44,11,10,1.6,7,0,0,44,85,71,78,7,6
7/24/2017,0.2,2,13,12,0.028,26,9,8,0.3,1,2,3,26,76,68,72,7,0
7/25/2017,0.2,2,18,17,0.028,26,10,9,-2.7,0,1,1,26,77,64,70.5,7,1
7/26/2017,0.3,3,29,27,0.049,45,32,30,6.8,28,6,9,45,85,57,71,7,2
7/27/2017,0.4,5,32,30,0.054,50,43,40,,,7,10,50,87,66,76.5,7,3
7/28/2017,0.3,3,19,18,0.029,27,19,18,,,0,0,27,82,68,75,7,4
7/29/2017,0.3,3,11,10,0.031,29,12,11,-0.7,0,0,0,29,80,62,71,7,5
7/30/2017,0.3,3,18,17,0.032,30,14,13,1.4,6,0,0,30,85,60,72.5,7,6
7/31/2017,0.4,5,35,33,0.04,37,46,43,10,42,24,34,43,87,62,74.5,7,0
8/1/2017,0.6,7,46,43,0.053,49,50,46,12.3,51,28,40,51,88,63,75.5,8,1
8/2/2017,0.4,5,35,33,0.064,80,52,48,16.6,60,,,80,90,66,78,8,2
8/3/2017,0.4,5,32,30,0.043,40,46,43,10.2,43,9,13,43,87,67,77,8,3
8/4/2017,0.4,5,22,21,0.031,29,20,19,6.5,27,1,1,29,82,63,72.5,8,4
8/5/2017,0.2,2,24,23,0.034,31,13,12,1.6,7,0,0,31,78,59,68.5,8,5
8/6/2017,0.4,5,19,18,0.038,35,25,23,7.8,33,6,9,35,80,60,70,8,6
8/7/2017,,,23,22,0.041,38,31,29,9.9,41,4,6,41,79,60,69.5,8,0
8/8/2017,0.3,3,30,28,0.039,36,18,17,4.6,19,23,33,36,81,62,71.5,8,1
8/9/2017,,,31,29,0.048,44,43,40,,,13,19,44,84,59,71.5,8,2
8/10/2017,0.4,5,33,31,0.046,43,52,48,13.1,53,7,10,53,84,60,72,8,3
8/11/2017,0.4,5,21,20,0.039,36,34,31,10.1,42,4,6,42,84,69,76.5,8,4
8/12/2017,0.2,2,15,14,0.048,44,14,13,4.8,20,0,0,44,79,64,71.5,8,5
8/13/2017,0.2,2,19,18,0.027,25,12,11,1.1,5,2,3,25,80,59,69.5,8,6
8/14/2017,0.5,6,39,37,0.044,41,40,37,8.5,35,10,14,41,85,63,74,8,0
8/15/2017,0.4,5,37,35,0.056,54,44,41,,,8,11,54,90,67,78.5,8,1
8/16/2017,0.4,5,34,32,0.039,36,37,34,9.2,38,1,1,38,86,62,74,8,2
8/17/2017,0.4,5,28,26,0.023,21,49,45,12.2,51,2,3,51,92,72,82,8,3
8/18/2017,0.2,2,11,10,0.041,38,17,16,-0.2,0,0,0,38,85,70,77.5,8,4
8/19/2017,0.4,5,27,25,0.05,46,18,17,4.9,20,2,3,46,83,65,74,8,5
8/20/2017,0.4,5,18,17,0.052,48,28,26,14,55,6,9,55,89,61,75,8,6
8/21/2017,0.4,5,33,31,0.047,44,40,37,11,46,3,4,46,92,73,82.5,8,0
8/22/2017,0.3,3,,,0.035,32,25,23,7.6,32,2,3,32,86,69,77.5,8,1
8/23/2017,0.3,3,30,28,0.033,31,17,16,3.8,16,1,1,31,79,60,69.5,8,2
8/24/2017,0.4,5,25,24,0.032,30,16,15,4.2,18,4,6,30,72,59,65.5,8,3
8/25/2017,0.4,5,30,28,0.028,26,23,21,7.1,30,1,1,30,74,55,64.5,8,4
